THEMES,CODES
,Malaysians are not open to accepting refugees and want them to be sent back
,Refugee safety are at risk due to increasing xenophobia
,Facebook is working on removing xenophobic contents on its platform
Refugees lack access to healthcare,Refugees are charged money for polio vaccination
,Refugees do not have the funds to pay for vaccination
,Malaysia created an environment where immigrant children are not immunised
,A doctor calls for healthcare insurance to be provided for all non-citizens so that they are able to seek medical care
,Refugees' health after being at sea for months are a concern
,Health ministry is working with UNHCR to ensure that refugees were included under the government's covid-19 preventive activities
Refugees face a number of mental health issues,Refugees face psychological stress from forced displacement
,Refugees lack access to mental health professionals due to financial constraints and lack of awareness
,Malaysia lacks specialised experts that could provide mental health needs for refugees 
,Refugees can access mental health services through UNHCR NGO partners
Social media is used to discriminate againts refugees,Hate speech towards refugees appeared on social media
,Social media platforms were used to incite hate on refugees
,There are a lot of xenophobic comments on social media
,There are a lot of pages and groups that featured discriminatory language about refugees 
,Comments on social media encouraged violence towards refugees
,Comments on social media disclosed the location of refugees and encouraged authorities to take action against them
,Comments on social media compare refugees to dogs and parasites
,Widespread hate speech could lead to physical violence and persecution of a whole group
,Anti-refugees groups and pages on social media should be taken down
,Hate speech becomes rampant as refugees were accused of spreading covid
,Comments on social media helped escalate xenophobia 
,Refugees are in fear due to the hate comments on social media
,Pages with links to security and enforcement agencies voicing anti-immigrant sentiment were found
,Government did not respond on queries related to hate speech towards refugees in social media
It is desirable to provide job opportunities for refugees,Providing jobs to refugees
,Allowing refugees to work will allow them to earn their own livelihood and reduce the burden on government
,Malaysia wants to assist refugees by absorbing them into semi-skilled workforce
,Malaysia wants to give refugees temporary foreign work permit so that they can be an asset to the country
,Human Resources Ministry and Home Ministry are creating a plan to create job opportunities for refugees
,Government wants to create job opportunities for current refugees but they do not want more refugees to come to Malaysia if there are job opportunities
,Refugees should be allowed to register with UNHCR and be given freedom to work
,Allowing refugees to work will allow them to earn their own livelihood and reduce the burden on government
,Refugees could help contribute to Malaysian economy
Prolonged detention should be stopped,Political leader do not agree with detentions as  prolonged detention without any clarity on refugees' future is a violation of human rights and a waste of public funds
Refugees at risk for deportation to high risk situations,Refugees are in fear of being deported
,Malaysia claims that only undocumented migrants were deported but have been denying access to UNHCR to verify the status of the deportees
,Refugee NGOs hope that there would be no more arrests and deportation for refugees
