title,comment_count,comment_texts,comment_indices,weighted_comment_sum,textlen,cluster,random,fulltext,paragraphs,weighted_comment_sumAI,commentrate,weighted_sum,wsr,wcsr
Iraqi man held over African woman’s murder,1,['Refugee identity of criminal suspect is foregrounded '],[62],0.5,1684,"[21, 0, 266, -1, 5]",0,"KUALA LUMPUR: A 25-year-old Iraqi man was held on Sunday night in connection with the murder of an African woman who was found dead by a road shoulder on Jalan Memanda 2, near Ampang Point about 12 hour earlier.

Ampang Jaya police chief ACP Mohamad Farouk Eshak said the Iraqi who has refugee status under the United Nations High Commissioner for Refugees (UNHCR) was arrested at Ampang Putra near Ampang Jaya here at 11.20pm.

He said a knife believed to be the murder weapon was also recovered.

Mohamad Farouk said the suspect and the 28-year-old victim were colleagues and worked at an Arab restaurant.

He said investigations are ongoing to ascertain what had led to the suspect and victim to be embroiled in a fight which led to the death of the latter.

Mohamad Farouk said police learnt that the African woman had come to Malaysia with her family about nine years ago.

“We managed to solve the case within a day with the arrest of the Iraqi. The suspect is in our custody for the murder investigation under a seven-day remand order,“ he said.

Mohamad Farouk said a post mortem on the victim’s body is ongoing at the Kuala Lumpur Hospital but an initial report revealed that tests showed the woman was positive for Covid-19.

He urged those with information on the case to come forward to assist in the probe.

On Sunday at about 12pm, police were alerted to the murder by a paramedic who had rendered medical aid to the victim who was found by a road shoulder opposite a row of shophouses.

The case was initially thought to have resulted from a snatch theft but investigators discovered that the victim was engaged in a fight with a man prior to being attacked and killed.",9,3.524390243902439,0.29691211401425177,1.8526315789473682,0.0011001375171896485,0.0002969121140142518
Malaysia to review use of UNHCR cards for Rohingya refugees,6,"[""Refugees shouldn't be allowed to enter a country without valid documentation"", '""It\'s not right"" for undocumented refugees to ""easily"" enter the country and get UNHCR cards ', 'Refugees cannot enter Malaysia ""as they like""', 'Defensive positioning of philanthropist donation news after anti-refugee statement', 'Escaped refugees ""at large"" ', 'Malaysia is only willing to help refugees that have legitimate documents']","[63, 64, 65, 66, 67, 60]",5.5,1619,"[57, -1, 152, 131, 127, 94]",0,"LARUT: The issuance of the United Nations High Commissioner for Refugees (UNHCR) cards to Rohingya refugees in the country will be reviewed, says Datuk Seri Hamzah Zainudin. nan The Home Minister said a study had to be done following the escape of hundreds of Rohingya detainees from the Sungai Bakap immigration detention depot near Bandar Baharu, Kedah, on Wednesday.“We cannot provide space for them to easily enter the country without documents and immediately get UNHCR cards. nan “It’s not right ... that’s why we take a firm stance – being a card holder doesn’t mean they can live in our country and enter as they like,” he told reporters after handing over donations to 1,000 underprivileged people from Larut parliamentary constituency at Dewan Astaka Batu Kurau here yesterday, Bernama reported. nan In the 4.30am incident on Wednesday, 528 Rohingya detainees escaped from the depot following a riot. nan During the escape, six detainees, including two children, were killed on the south-bound side of the North-South Expressway when they tried to cross the highway near Jawi. nan In Alor Setar, Kedah police chief Comm Wan Hassan Wan Ahmad said the police were still tracking down the remaining 80 Rohingya escapees. nan “As of Friday night, 65 men, eight women and seven girls are still at large,” he said. nan “So far, 448 Rohingya detainees have been found – they comprise 229 men, 89 women, 69 boys and 61 girls,” he said in a statement yesterday. nan Comm Wan Hassan said currently, there were 15 people at the depot and documentation work was being conducted to transfer them to other detention depots.",7,3.024390243902439,3.3971587399629404,6.005847953216374,0.003709603430028644,0.0033971587399629403
Lockdown in Masjid India: Foreign missions told to provide for their citizens,4,"['Migrants are not state responsibility', 'Unclear who is responsible for refugees ', ""Sympathetic to refugee's circumstance "", 'It is unclear if the Malaysian government are willing to help refugees during the lockdowns']","[68, 69, 25, 70]",3.111111111111111,1843,"[-1, 238, 277, 276, 176, 270, 12]",0,"CORONAVIRUS | Foreign missions have been told to provide meals for the vast majority of residents in the Selangor Mansion and Malayan Mansion buildings in Kuala Lumpur, which have been placed under total lockdown.

Defence Minister Ismail Sabri Yaakob said 97 percent of the 6,000 affected were migrants.

""I have said it clearly before, migrants in our country are the responsibility of their respective embassies (and high commissions),"" he told a press conference in Putrajaya today.

The lockdown on the two buildings in Jalan Masjid India was announced yesterday after 19 Covid-19 positive cases were detected in the premises.

ADS

Currently, the government provides Malaysians under the enhanced movement control order (MCO) with essentials.

According to Ismail, migrants under the enhanced MCO can also purchase essentials by placing orders at the operations centre enforcing the lockdown.

The senior minister had announced last week that all foreign missions were responsible for distributing aid to their citizens in Malaysia.

There are reportedly some six million migrant workers in Malaysia according to unofficial estimates.

ADS

It is unclear if the directive meant that embassies must also look after refugees, or if the Malaysian government would be helping them.

According to the UN Refugee Agency (UNHCR), there are some 178,990 refugees and asylum seekers registered with it in Malaysia as of February.

This includes some 101,010 Rohingyas who are effectively stateless due to Myanmar's refusal to grant them citizenship.

Keep up with the latest information on the outbreak in the country with Malaysiakini's free Covid-19 tracker.

Malaysiakini is providing free access to the most important updates on the coronavirus pandemic. You can find them here.

Help keep independent media alive - subscribe to Malaysiakini.",9,4.524390243902439,1.6880689696750466,1.171052631578947,0.0006354056601079473,0.0016880689696750467
"Malaysia puts deportations to Myanmar on hold till after Asean meets, say sources",16,"[""Refugees' safety during deportation is a concern"", 'Malaysia was under international pressure for sending back Myanmar nationals', 'Malaysia claims that only undocumented migrants were deported but have been denying access to UNHCR to verify the status of the deportees', 'Refugee crisis is a regional agenda', 'Safety concerns over deportation ', 'Malaysian deports refugees against court orders ', 'Refugees are fleeing persecution', 'Deportation forces refugees to face persecution ', ""Deportation of refugees is politicized as Malaysia's legitimation of Myanmar coup "", 'International pressure on Malaysia for deporting refugees', 'Fact check of state statements on refugee deportation ', 'Malaysia statement: Deported are undocumented migrants not refugees  ', 'Sympathetic to refugee circumstances', 'Right groups in Malaysia are concerned over refugees’ safety after deportation', 'Discussing about refugee rights to the media are not allowed by certain parties', 'Malaysia is criticized for sending Rohingya refugees back to Myanmar']","[71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",14.23611111111111,2095,"[278, 258, 159, 41, -1, 89]",0,"KUALA LUMPUR, March 24 — Malaysia decided today to postpone planned deportations to Myanmar until after a proposed emergency regional summit to discuss the crisis there brought on by a military coup, sources familiar with the matter told Reuters. Right groups raised concerns over the safety of deportees when Malaysia sent back 1,086 Myanmar nationals on Myanmar navy ships last month, just weeks after the military had seized power in a February 1 coup. Detained in Malaysia for immigration offences, they were deported despite a court order halting the plan. Rights groups had told the court that children and asylum-seekers fleeing persecution in Myanmar were among those being deported. Three Malaysian sources familiar with the matter said the decision to delay a plan to deport a second batch until after a proposed meeting of the Association of South-east Asian Nations (Asean) to discuss the Myanmar crisis was taken at a cabinet meeting today. The sources requested anonymity as they were not authorised to speak to media. Myanmar this month had offered to send three more navy ships to pick up its people detained in Malaysia, one of the sources said. Malaysia’s foreign ministry directed queries to the home affairs ministry and immigration department, neither of which responded to requests for comment. Indonesia last week called on Brunei, the current chair of Asean, to convene an urgent meeting to discuss the situation in Myanmar, amid a violent crackdown on anti-coup protesters. Malaysia backed Indonesia’s call, but it is unclear whether, or when, that meeting would be held. Malaysia came under international pressure after sending back the Myanmar nationals last month, with diplomats saying Kuala Lumpur was legitimising the coup by accepting the junta’s proposal to take back the detainees. Malaysia said the people deported last month were undocumented migrants and did not include ethnic Rohingya refugees or asylum-seekers. But concerns have persisted as the UN refugee agency has been denied access to detainees for more than a year to verify their status. — Reuters",10,4.024390243902439,6.7952797666401485,5.739348370927318,0.0027395457617791492,0.0067952797666401485
"Vaccine-preventable diseases can be controlled if carried out diligently, says paediatrician",7,"['Refugees are charged money for polio vaccination', 'Refugees do not have the funds to pay for vaccination', 'Malaysia created an environment where immigrant children are not immunised', 'A doctor calls for healthcare insurance to be provided for all non-citizens so that they are able to seek medical care', ""Healthcare access to refugees for our children's health too"", 'Refugees in Malaysia lack access to health services', 'The Ministry of Health Malaysia is willing to work with other agencies to provide healthcare to refugees in Malaysia']","[87, 88, 89, 90, 91, 92, 93]",7.0,1665,"[81, 101, -1, 240, 43, 164]",0,"PETALING JAYA: Vaccine-preventable diseases can be controlled if vaccinations are done proactively regardless of a child’s nationality, a paediatrician pointed out yesterday.

Datuk Dr Amar Singh, a senior consultant paediatrician, said polio made a comeback in the country after 12 years because refugees, undocumented children, immigrants and stateless children were not all immunised.

“The real problem in Sabah lies in the fact that we don’t vaccinate these quarters, or rather they are charged money ... if I am not mistaken, RM40 per vaccination,” he said.

“If you are stateless or someone from that category, you won’t have the means to pay that amount of money. That is the problem. If you don’t vaccinate other children, we will harm our own children.

“This is because we create an environment where a sizeable number of stateless and immigrant children are not immunised.”

Amar said the Health Ministry had announced that it would work with other agencies and obtain funds from the Philippines.

“But no, I think we should invest our own money because this is an investment for our own children,” he added.

Similarly, another physician suggested several “stepwise approaches” to provide essential healthcare to non-citizens in Malaysia.

Dr Tharani Loganathan said mothers and children should be given access to immunisation programmes, maternal and childcare services, and hospital delivery in public health facilities.

“Provide health insurance for all non-citizens, including undocumented migrants,” he said.

“Decouple healthcare from immigration so that non-citizens are able to seek care at medical facilities without fear or financial costs.”",10,5.024390243902439,4.2042042042042045,8.579782790309107,0.005153022696882346,0.004204204204204204
Suhakam to monitor GE14 integrity,6,"['Malaysia has displayed the political will to help refugees', 'Malaysia treats refugees unfairly, refugee children are detained in prison-like conditions', 'Human Rights Commission will encourage the government to find solutions to address refugee issues', ""Highlighted gap between Malaysia's display of political will and mistreatment of refugees "", 'Ultimate solution to refugee crisis is resolving drivers of displacement ', 'Malaysia has the political will to help refugees but refugee treatment in this country is still questionable']","[94, 95, 96, 97, 98, 99]",6.0,1694,"[124, 177, 231, 149, 129, 67]",0,"KUALA LUMPUR, Dec 10 — The Human Rights Commission of Malaysia (Suhakam) said today it will monitor the 14th general election to ensure the process is in accordance with democratic standards. In conjunction with International Human Rights Day, Suhakam chairman Tan Sri Razali Ismail raised several pertinent matters related to the state of human rights in the country and said that monitoring the election will be one of its roles to fulfil people’s rights. “Suhakam will be monitoring closely how it (the elections) will be conducted on the premise that democracy must exist with election integrity,” he said in a statement. Razali added that there were many aspects and challenges to human rights which Putrajaya has yet to address. From the issues of indigenous people and uncontrolled deforestation by developers to enacting laws without consulting relevant stakeholders like Suhakam and the spread of bigotry in the country, Razali said more needs to be done to promote national harmony. “In the context of refugee protection, in particular the Rohingya, Suhakam is pleased that Malaysia has displayed the political will, and to a certain extent shaped international response authoritatively. “However, at home we continue to hold refugee children in detention; often in prison-like conditions,” he said. Nevertheless, Razali said Suhakam will continue to encourage the government to broaden the search for solutions to address these issues. “The ultimate solution is to address and ameliorate drivers of displacement for such as conflict, breakdown of the rule of law, weak governance and the failure of legal institutions,” he added. The world celebrates the 69th Human Rights Day today.",9,5.0,3.541912632821724,3.8872180451127822,0.002294697783419588,0.0035419126328217238
"Umno veep: Help refugees obtain papers, let them work",17,"['A political leader is of the view that Malaysia must improve its treatment of refugees', 'Refugees should be allowed to register with UNHCR and be given freedom to work', 'Allowing refugees to work will allow them to earn their own livelihood and reduce the burden on government', 'Political opinions on the better traetment of refugees are rare among political leaders', 'Refugees do not have legal recognition or UNHCR-issued identification cards under Malaysian law', ""Political leader do not agree with detentions as  prolonged detention without any clarity on refugees' future is a violation of human rights and a waste of public funds"", 'Malaysia should improve its treatment of refugees', 'Refugees should be given freedom to work ', 'Let refugees work to reduce burden on government ', ""Refugee's human rights are violated in prolonged detention "", 'Prolonged detention of refugees are a waste of public funds', 'Some Malaysian leaders are willing to help refugees', 'Some Malaysian leaders are willing to help refugees', 'Most leaders in Malaysia are unwilling to help refugees ', 'Malaysia is not part of the 1951 Refugee Convention signatory', 'Refugees are detained under questionable conditions in Malaysia', 'Malaysian politicians believe that spending public funds on refugees is a waste']","[100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 111, 112, 113, 114, 115]",16.0,1617,"[44, 36, 206, -1, 92, 84]",0,"Umno vice-president Khaled Nordin today opined that Malaysia must improve in its treatment of refugees.

He said refugees should be allowed to register with the UN High Commissioner for Refugees (UNHCR) and be given freedoms, including the freedom to work.

""We don't have to import millions of unskilled labourers through various complicated deals. These refugees can be put to work.

""This will allow them to develop skills, sustain themselves and reduce the burden on the government,"" he said in a statement today.

ADS

Political opinions on the better treatment of refugees are rare among Umno leaders.

Successive BN governments had never ratified the 1951 Refugee Convention. The only Asean country that is a signatory is the Philippines.

As such, under Malaysian law, refugees have neither legal recognition nor UNHCR-issue identification cards, which can help refugees resettle in other countries.

The detention centre where the breakout occurred

Malaysia's treatment of refugees has come under the spotlight once again following the escape of 528 undocumented persons from a detention centre in Kedah.

ADS

Six people - including women and children - died while escaping.

According to Home Minister Hamzah Zainudin, all the detainees were from the Rohingya ethnic group and had been in detention since 2020.

Khaled said unrest at immigration detention centres is not new, suggesting that it had likely to do with the conditions and the long duration of detention.

""Prolonged detention without any clarity on their future is a violation of human rights.

""It’s also a waste of public funds,"" he added.",9,3.8577235772357725,9.89486703772418,9.0,0.0055658627087198514,0.009894867037724181
"Refugees lack access to mental health professionals, UNHCR says",16,"['Refugees face psychological stress from forced displacement', 'Refugees lack access to mental health professionals due to financial constraints and lack of awareness', 'Malaysia lacks specialised experts that could provide mental health needs for refugees ', 'Refugees can access mental health services through UNHCR NGO partners', 'Refugees lack access to healthcare', 'Sympathetic to refugee circumstances', 'Refugees face psychological stress during and after displacement  ', 'Refugees lack access to healthcare', 'Refugees face financial constraints and lack of awareness', 'Host country lacking in mental health infrastructure for refugees', 'Sympathetic to refugee circumstances', 'Inclusion of mental health support resources for refugees', 'Refugees lack access to mental health professionals in Malaysia despite facing psychological stress', 'Refugees lack access to mental health professionals in Malaysia despite facing psychological stress', 'Malaysia lack expertise in dealing with mental health needs of refugees in the country', 'UNHCR offers mental health and psychosocial support for refugees in Malaysia']","[116, 117, 118, 119, 120, 83, 121, 120, 122, 123, 83, 124, 125, 125, 126, 127]",12.25,3020,"[-1, 230, 173]",1,"Lack of access to mental health professionals is a major issue for refugees, said the United Nations High Commissioner for Refugees (UNHCR) office in Malaysia.

In a statement to Malaysiakini following Tuesday's murder-suicide involving a refugee family in Kepong, Kuala Lumpur, the humanitarian agency said the problem was usually due to financial constraints and lack of awareness.

“Refugees who have gone through forced displacement often face psychological stress from experiences in countries of origin, transit country, and in the country of asylum.

“Maintaining mental health is crucial to the overall wellbeing of individuals. In refugee settings, lack of access to mental health professionals is often a major issue, due to financial constraints and lack of awareness.

ADS

“It is also compounded by the lack of specialised expertise in the country dealing with the mental health needs of refugees that arise from their unique circumstances,” said spokesperson Yante Ismail.

Malaysiakini contacted UNHCR Malaysia for comments on the incident early Tuesday morning, which saw two Myanmar children killed while another sibling was seriously injured after they were thrown from a flyover by their father, who then plunged to his death from the same spot.

It was later revealed that the father, 38, had been suffering from depression for about a year after he was unable to find employment and was infected with Covid-19.

Seek support from UNHCR partners

ADS

Factors contributing to suicide are often complex, and mental health problems do not necessarily lead to suicide.

Although a serious public health problem, suicides are preventable with timely, evidence-based, and often low-cost interventions, according to the World Health Organization.

Yante said refugees in Malaysia can access mental health and psychosocial support services that are provided by UNHCR NGO partners here.

They include the Buddhist Tzu Chi Foundation, Health Equity Initiatives, Acts, Humankind, and the QFFD Clinic run by Mercy Malaysia.

Those who wish to engage in the services can find their contact information via UNHCR’s RefugeeMalaysia.org information portal or by clicking here.

According to Yante, UNHCR also has an online psychosocial support group project with the University of New South Wales (UNSW) for refugee women.

They may seek assistance on matters concerning their mental health and emotional well-being, especially in a time of Covid-19.

If you are feeling depressed or suicidal, or know someone who is, please call the following hotlines:

ADS

Talian Kasih

Hotline: 15999

The Befrienders

Hotline: 03-76272929

Agape Counselling Centre Malaysia

Hotline: 03-77855955 or 03-77810800

Life Line Association Malaysia

Hotline: 03-42657995

The Health Ministry and Mercy Malaysia have also set up a support line for frontline workers and others who are emotionally affected by the Covid-19 outbreak.

The line can be reached at 014-3223392, 011-63996482, 011-63994236, or 03-29359935, from 8am to 5pm.",16,1.524390243902439,4.056291390728476,8.046783625730994,0.0026644978893148987,0.0040562913907284765
Malaysia to absorb 56k Rohingya refugees in the country into semi-skilled workforce,9,"['Malaysia wants to assist refugees by absorbing them into semi-skilled workforce', 'Malaysia wants to give refugees temporary foreign work permit so that they can be an asset to the country', 'Malaysia is committed to helping refugees', 'Malaysia is negotiating with Myanmar to send humanitarian aid to Rakhine', 'Refugees will be an asset if absorbed into the workforce ', ""Refugees' current status is liability "", 'Refugees will be an asset if absorbed into the workforce ', ""Government commitment to reduce refugees' hardship "", 'Some country leaders are willing to help refugees in Malaysia gain access to the local work opportunities']","[128, 129, 10, 130, 131, 132, 131, 133, 134]",7.333333333333334,1807,"[272, 204, 131, 116, -1]",1,"KUALA LUMPUR: Malaysia is committed to assist the 56,000 Rohingya refugees currently residing in the country by absorbing them into the semi-skilled workforce.

Deputy Prime Minister Datuk Seri Ahmad Zahid Hamidi said such effort would allow ethnic Rohingyas with UNHCR cards to become an asset to the nation, rather than becoming a liability.

Ahmad Zahid, who is also the Home Minister, said the government is currently in the midst of scrutinising the plan to allow for Rohingya refugees to be able to work legally in Malaysia.

""They will be given training in the semi-skill sector and we will scrutinise the implementation to provide them with work opportunity.

""These UNHCR card holders will be given the temporary foreign work permit (PLKS), and their status can be changed from a liability to an asset to our workforce,"" he told reporters at the Organisation of Islamic Cooperation extraordinary session at the KL Convention Centre here.

Ahmad Zahid said the plan was part of the government's commitment to alleviate the hardship faced by the refugees in Malaysia.

Deputy Home Minister Datuk Nur Jazlan Mohamed on Jan 7 had stated that a pilot project is underway to allow ethnic Rohingyas with UNHCR cards to be employed.

Meanwhile, Ahmad Zahid said Malaysia is yet to receive a green light from the Myanmar government to dock its humanitarian flotilla at the troubled Rakhine State.

This was despite news reports stating that the Myanmar authorities had agreed verbally to allow the mission to take place, although with conditions.

""Not yet, not yet. Of course if it (permission) is granted we will welcome Myanmar's commitment,"" he said.

Ahmad Zahid said Malaysia is still negotiating with its Myanmar counterpart to allow the mission to enter through Sittwe, the capital of Rakhine State.",11,1.8577235772357723,4.058291828076001,6.625730994152048,0.0036667022657177906,0.004058291828076001
Bangladesh picks up 58 Malaysia-bound Rohingya at sea,10,"['Refugees were stopped by Bangladeshi coast guards from making a dangerous journey to Malaysia by sea ', 'Refugees are vulnerable to trafficking   as their livelihoods, support networks and other fundamental systems are disrupted. ', 'Refugees ""rescued"" from dangerous travel to Malaysia ', 'Sympathetic to refugee circumstances', 'Refugees make perilous voyages out of desperation', 'Refugees ""rescued"" from dangerous travel to Malaysia ', 'Refugees are exploited by traffickers', 'Refugees are “vulnerable”', 'Refugee camps are overcrowded in Bangladesh', 'Traffickers are capitalizing on refugees sufferings by offering them services where their safety are not ensured ']","[135, 136, 137, 83, 138, 137, 139, 140, 141, 142]",6.458333333333334,1856,"[22, 105, 204, 58, 1, 91]",1,"TEKNAF (Bangladesh), May 31 — Bangladesh coast guards yesterday stopped 58 Rohingya refugees from making a potentially dangerous journey to Malaysia by sea and arrested two suspected traffickers, an official said. Acting on a tip-off, a patrol ship challenged a fishing boat near Saint Martin’s, a small Bangladesh island in the Bay of Bengal, and found the Rohingya on board, coast guard Lieutenant Josel Rana said. “We’ve found 58 refugees and detained two human traffickers on the boat,” he told AFP. About 740,000 Muslim minority Rohingya have fled Myanmar for Bangladesh since a brutal military crackdown in the Buddhist-majority nation began in August 2017. Thousands of refugees attempt to flee the camps each year in pursuit of better opportunities in countries such as Malaysia and Thailand. So far this year, law enforcement agencies in Bangladesh have rescued over 400 Rohingya refugees from coastal villages as they were waiting to board boats bound for Malaysia. But this is the first time in 2019 that Rohingya refugees were rescued at sea, raising concerns that the situation in Bangladesh’s overcrowded camps — home to nearly one million — is worsening. “Such incidents will continue as desperation among the refugees is on the rise,” said Emdadul Haq, a professor at the private North South University in Dhaka. Rana said most of the refugees picked up by the coast guard were from the Kutupalong camp — the largest refugee settlement in the world. Most attempt the journey before March, when the sea is calm before the monsoon season sets in, but experts say traffickers are now convincing the refugees to attempt the trip even in rough waters. The UN refugee agency (UNHCR) has said the vulnerability of Rohingya to trafficking has increased enormously as livelihoods, support networks, and other fundamental systems are disrupted. — AFP",10,2.9166666666666665,3.4797054597701154,15.730994152046785,0.008475751159507966,0.0034797054597701152
Inhumane to turn back refugee ship,19,"['Malaysia was criticised by a human rights group for turning away a refugee ship', 'Malaysia prevented a boat carrying refugees from entering Malaysian waters', 'Boats carrying refugees that were turned back were rescued by Bangladeshi coastguards', 'Cuba allowed ships carrying covid-19 positive passengers to dock in their waters to receive medical assistance', 'Refugees are not recognised by the government even though they have the UNHCR card', ""Refugees don't have the rights to work, receive education and access to healthcare"", 'Refugees are victims caught in a situation beyond their control', 'Government should show empathy to those trying to escape from cruelty and suffering', 'Turning away refugees is ""inhumane""', 'Turning away refugees is ""inhumane""', 'Refugee crisis is a collective ASEAN responsibility ', 'Helping refugees is a defence of basic human rights ', 'Refugees are a group with violated rights', 'Sympathetic to refugee circumstances', 'Refugees are victims due to circumstances beyond their control', 'Malaysia endangers refugee lives by turning away boats that try to dock in their coastlines', 'Traffickers are capitalizing on refugees sufferings by offering them services where their safety are not ensured', 'Refugees lack access to health facilities', 'Refugees in Malaysia do not have basic rights']","[143, 144, 145, 146, 147, 148, 149, 150, 151, 151, 152, 153, 16, 83, 154, 155, 156, 157, 158]",15.701923076923077,2264,"[122, 149, 280, 77, -1, 156, 129, 30]",0,"Human rights group Suaram has criticised Malaysia's decision to turn away a refugee ship, calling the move ""inhumane"".

""Malaysia’s act of turning those boats back to sea without good cause endangering the lives of the 200 passengers aboard is inhumane in the extreme.

""We agree that problems arising from military conflicts, nationality and the status of ethnic Rohingyas or any other ethnic minority in Asean are a collective responsibility requiring the cooperation of other Asean nations.

""Regardless, Malaysia should have set a progressive example for other Asean nations in defending basic human rights in the region,"" Suaram executive director D Sevan said in a statement.

ADS

On April 16, the Royal Malaysian Navy prevented a boat carrying an estimated 200 Rohingya refugees from entering Malaysian waters near Langkawi.

A day before that, it was reported that at least two dozen people had died after a ship carrying 382 Rohingya refugees was repeatedly turned back by Malaysian authorities.

They were eventually rescued by the Bangladeshi coastguard, which said they had been adrift for two months.

Sevan noted concerns that the refugees may be infected with Covid-19 but said that can be addressed.

ADS

""With screening procedures and social distancing, they can still be saved without jeopardising Malaysia’s public health.

""For example, Cuba has allowed two ships carrying Covid-19 positive passengers to dock in their waters to receive medical assistance, reasoning that health is a human right,"" he said.

D Sevan

Sevan said refugees in Malaysia are not recognised by the government even though they have a United Nations High Commissioner for Refugees (UNHCR) identification card.

""They do not enjoy rights to work, receive a formal education, nor ready access to public healthcare services.

""Despite these constraints, they still need to sustain themselves and their families, often leading to problems with the authorities. This further complicates their daily lives.

""Refugees are not recipients of benefits or favours from the government but are instead victims caught in a situation beyond their control,"" he said.

As such, he urged the government to be humane and show empathy to those trying to flee from cruelty and suffering.",14,6.024390243902439,6.935478390867083,12.608187134502923,0.005568987250222139,0.006935478390867084
'Help Rohingya? Give them formal status in Malaysia',22,"['Political leader is of the view that Malaysia should recognise Rohignya community as refugees of war', ""Political leader wants the government to give Rohingya's children access to education"", 'Malaysians protested against violence against the Rohingya community', 'As a non-permanent member of the United Nations Security Council, Malaysia should press for an emergency motion against the killings', 'It is insufficient to only voice out sympathies to the Rohingya cause, Malaysia needs to take action using its positions and responsibilities', 'Refugees are not formally recognised in Malaysia', 'Refugees are vulnerable to human traffickers, labour exploitation and extortion', 'Refugee children lack access to formal education', 'Malaysia took in a boat that was packed with refugees who were left at sea by human traffickers', 'Malaysia should recognise refugees', 'Education for refugees should be empowered', 'Responsibility of the international community', 'Refugee crisis is a collective ASEAN responsibility', 'Refugees are victims of human trafficking', 'Refugees are “vulnerable”', 'Lack of formal recognition leaves refugees vulnerable ', 'Refugees are victims of human trafficking', 'Some Malaysian leaders are willing to help refugees and give access to refugee children to education', 'Some Malaysian leaders are willing to help the Rohingyas and recognise them as refugees of war', 'Refugees are not recognise and are vulnerable to traffickers, exploitation and extortion', 'Traffickers are capitalizing on refugees sufferings by offering them services where their safety are not ensured', 'Other countries are open to receive refugees such as the United States']","[159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 140, 173, 172, 174, 175, 176, 156, 177]",17.826923076923077,2570,"[61, 225, 178, 146, 13, -1, 157, 116, 50]",0,"The Malaysian government can help the Rohingya community by recognising and helping those who are already in Malaysia, said former PKR deputy president Syed Husin Ali.

""If we truly want to help the Rohingya, then recognise their status here. Give their children a chance to be educated,"" he said on Twitter.

This comes after at least 10,000 people, including Prime Minister Najib Abdul Razak, attended a rally in Kuala Lumpur to protest against state-sanctioned violence against Rohingya community in Myanmar.

Similarly, PKR president Dr Wan Azizah Wan Ismail said the government must first recognise the community as refugees of war.

ADS

She said Malaysia must also use its position as a non-permanent member of the United Nations Security Council to press for an emergency motion against the killings.

Malaysia as Asean founder member must also lead the way to pressure Myanmar and do away with Asean's non-interference policy, she said in a statement.

""It is insufficient to merely voice out our sympathies to the Rohingya cause, but we must also employ our positions and responsibilities,"" she said.

The Rohingya community, who are mostly Muslim, are not recognised as Myanmar citizens despite their presence in the country for several generations.

ADS

They originate from the coastal state of Rakhine, east of the Bay of Bengal.

According to the United Nations refugee agency, UNHCR, there are 54,856 registered Rohingya refugees and asylum-seekers in Malaysia as of the end of October.

Refugees are not formally recognised in Malaysia, leaving them vulnerable to human traffickers, labour exploitation and extortion.

Children of refugees are also not allowed to attend government schools and are mostly educated by volunteers.

Transit point

Despite not recognising refugees, Malaysia has become a transit point for refugees, who are processed and transferred in third countries by agencies such as the UNHCR.

Last year Malaysia turned away boats carrying migrants including the Rohingya, but eventually took in 1,018 aboard a boat which tried to dock at Pulau Langkawi.

The boat was among several packed with economic migrants and refugees, who were left at sea by human traffickers following a crackdown in Thailand.

This followed the discovery of mass graves linked to human trafficking on the Thai-Malaysian border.

The 1,018, reportedly from Bangladesh and Myanmar, were placed in the Belantik immigration detention camp in Sik, Kedah.

Last May, 36 of those held at Belantik were transferred to the United States with the help of the UNHCR.",16,6.024390243902438,6.936545944328045,14.232618583495777,0.005537983884628707,0.006936545944328045
